,Invasion,Plot,Horizon,Treatment,pH,C-stock,Soil moisture,Inorganic N,N-min,Labile C
X12-GM-O,Invaded,12,Organic,Control,4.03,1812.07536,0.734197731,50.80171809,3.690267481,68.2127545
X12-U-O,Uninvaded,12,Organic,Control,3.84,3034.121304,0.254032258,9.653646349,7.407374685,101.4358308
X13-GM-BS,Invaded,13,Mineral,H,4.35,3490.984272,0.344978166,7.67638577,0.680434434,15.28364433
X13-GM-O,Invaded,13,Organic,H,4.05,1825.995336,0.648783977,12.78970697,7.943663962,147.3943875
X13-U-BS,Uninvaded,13,Mineral,H,4.29,3516.653274,0.317073171,12.75527295,2.87270693,16.5416413
X13-U-O,Uninvaded,13,Organic,H,3.93,1766.769708,0.662611517,23.41325646,5.545574751,86.86751839
X14-GM-O,Invaded,14,Organic,Control,3.9,2359.076379,0.181481481,11.14141318,2.529488062,51.94931923
X14-U-BS,Uninvaded,14,Mineral,Control,4.23,3462.84153,0.237547893,17.21639243,2.8280739,14.21924251
X14-U-O,Uninvaded,14,Organic,Control,3.87,2589.556332,0.81663837,12.19414598,8.394719777,163.2558997
X18-GM-BS,Invaded,18,Mineral,H,4.28,2579.821701,0.190635452,,,3.786062768
X18-GM-O,Invaded,18,Organic,H,4.3,2650.193633,0.485232068,25.41185133,12.87619562,34.00098378
X18-U-BS,Uninvaded,18,Mineral,H,4.18,3065.186929,0.282352941,21.78553427,,4.806534042
X18-U-O,Uninvaded,18,Organic,H,4.71,1560.459488,0.370833333,54.69916636,9.681302749,55.9143229
X19-GM-BS,Invaded,19,Mineral,Control,3.84,8307.972768,0.275862069,20.1969506,1.031015985,42.00032713
X19-GM-O,Invaded,19,Organic,Control,3.79,5990.81925,0.833941606,12.06624217,6.51667606,225.535507
X19-U-BS,Uninvaded,19,Mineral,Control,4.71,2969.967972,0.172043011,13.63476563,0.753348214,10.81626047
X19-U-O,Uninvaded,19,Organic,Control,4.76,2158.923,0.223529412,42.71646859,3.221258792,28.09708375
X20-GM-BS,Invaded,20,Mineral,Control,4.03,4791.661875,0.461904762,8.286602095,-0.288389591,25.5760787
X20-GM-O,Invaded,20,Organic,Control,4.04,6107.549042,0.715771231,23.87188416,5.426747312,217.4023959
X20-U-BS,Uninvaded,20,Mineral,Control,3.66,15515.01386,0.2421875,5.336096177,0.927045998,45.73542679
X20-U-O,Uninvaded,20,Organic,Control,3.9,4173.41925,0.488888889,8.740759409,2.847345964,148.4570234
X24-GM-BS,Invaded,24,Mineral,Control,4.65,3569.867876,0.176666667,9.968426659,2.522878445,8.085458636
X24-GM-O,Invaded,24,Organic,Control,4.29,1641.564562,0.215686275,49.62124267,5.257972874,24.78650869
X24-U-BS,Uninvaded,24,Mineral,Control,4.38,3396.9331,0.258064516,23.1328125,0.979352679,4.265439268
X24-U-O,Uninvaded,24,Organic,Control,3.67,5707.78306,0.757289204,9.301843318,2.977679551,213.9245328
X2-GM-BS,Invaded,2,Mineral,H,4.57,3144.36252,0.233333333,15.21601382,0.361051679,4.438966843
X2-GM-O,Invaded,2,Organic,H,4.1,1149.235164,0.260162602,14.57680192,6.708849366,34.51546233
X2-U-BS,Uninvaded,2,Mineral,H,4.27,3218.974512,0.328903654,20.6177399,1.497999209,17.52800972
X2-U-O,Uninvaded,2,Organic,H,3.99,2490.838696,0.779089376,14.39090165,8.890728405,349.5773958
X5-GM-BS,Invaded,5,Mineral,H,4.34,5072.067405,0.232283465,5.737219792,0.092995782,1.448964847
X5-GM-O,Invaded,5,Organic,H,4.29,573.908265,0.291970803,19.73863407,0.431577621,12.80253547
X5-U-O,Uninvaded,5,Organic,H,4.01,740.655741,0.257028112,19.16681893,-0.148475752,28.72815912
X8-GM-BS,Invaded,8,Mineral,H,4.66,3148.353453,0.193548387,26.703125,0.033482143,12.29623953
X8-GM-O,Invaded,8,Organic,H,4.72,529.009695,0.152737752,38.49102252,2.357131989,12.8834337
X8-U-BS,Uninvaded,8,Mineral,H,4.41,1339.653077,0.207142857,7.406840934,3.610240183,1.705760331
X8-U-O,Uninvaded,8,Organic,H,4.37,467.125542,0.252830189,17.29214312,1.469538827,13.23142114